répond au tchat du chef de l’ église avec un SMS	[IN:SEND_MESSAGE [SL:GROUP chef de l’ église SL:GROUP] IN:SEND_MESSAGE]
Quels sont les ingrédients du Poulet Marsala	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE ingrédients SL:RECIPES_ATTRIBUTE] [SL:RECIPES_DISH Poulet Marsala SL:RECIPES_DISH] IN:GET_INFO_RECIPES]
Trouve - moi la recette du gâteau Napoléon	[IN:GET_RECIPES [SL:RECIPES_DISH gâteau Napoléon SL:RECIPES_DISH] IN:GET_RECIPES]
À quelle température fait - on cuire une tarte aux pommes	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE température SL:RECIPES_ATTRIBUTE] [SL:RECIPES_COOKING_METHOD cuire SL:RECIPES_COOKING_METHOD] [SL:RECIPES_DISH tarte aux pommes SL:RECIPES_DISH] IN:GET_INFO_RECIPES]
Recettes de gâteau rouge velours	[IN:GET_RECIPES [SL:RECIPES_DISH gâteau rouge velours SL:RECIPES_DISH] IN:GET_RECIPES]
Y a - t - il du fer dans le chocolat	[IN:IS_TRUE_RECIPES [SL:RECIPES_TYPE_NUTRITION fer SL:RECIPES_TYPE_NUTRITION] [SL:RECIPES_INCLUDED_INGREDIENT chocolat SL:RECIPES_INCLUDED_INGREDIENT] IN:IS_TRUE_RECIPES]
Comment réhydrater les fruits secs	[IN:GET_INFO_RECIPES [SL:RECIPES_COOKING_METHOD réhydrater SL:RECIPES_COOKING_METHOD] [SL:RECIPES_INCLUDED_INGREDIENT fruits secs SL:RECIPES_INCLUDED_INGREDIENT] IN:GET_INFO_RECIPES]
Ouvre Spotify et joue la liste de lecture Voyage en voiture	[IN:PLAY_MUSIC [SL:MUSIC_PROVIDER_NAME Spotify SL:MUSIC_PROVIDER_NAME] [SL:MUSIC_PLAYLIST_TITLE Voyage en voiture SL:MUSIC_PLAYLIST_TITLE] [SL:MUSIC_TYPE liste de lecture SL:MUSIC_TYPE] IN:PLAY_MUSIC]
éteins la musique	[IN:STOP_MUSIC [SL:MUSIC_TYPE musique SL:MUSIC_TYPE] IN:STOP_MUSIC]
Retourne à la chanson précédente	[IN:PREVIOUS_TRACK_MUSIC [SL:ORDINAL précédente SL:ORDINAL] [SL:MUSIC_TYPE chanson SL:MUSIC_TYPE] IN:PREVIOUS_TRACK_MUSIC]
programme une alarme pour dimanche à 8 h	[IN:CREATE_ALARM [SL:DATE_TIME pour dimanche à 8 h SL:DATE_TIME] IN:CREATE_ALARM]
Répète l' alarme tous les lundis	[IN:UPDATE_ALARM [SL:PERIOD tous les lundis SL:PERIOD] IN:UPDATE_ALARM]
réveille - nous dans 7 heures	[IN:CREATE_ALARM [SL:DATE_TIME dans 7 heures SL:DATE_TIME] IN:CREATE_ALARM]
Fixe l' alarme toutes les 10 minutes pendant une heure	[IN:CREATE_ALARM [SL:PERIOD toutes les 10 minutes SL:PERIOD] [SL:DATE_TIME pendant une heure SL:DATE_TIME] IN:CREATE_ALARM]
Avance mon alarme de 20 minutes	[IN:UPDATE_ALARM [SL:DATE_TIME de 20 minutes SL:DATE_TIME] IN:UPDATE_ALARM]
combien de temps ai - je couru	[IN:GET_TIMER  IN:GET_TIMER]
supprime les données actuelles de la minuterie	[IN:DELETE_TIMER [SL:METHOD_TIMER minuterie SL:METHOD_TIMER] IN:DELETE_TIMER]
combien de temps encore	[IN:GET_TIMER  IN:GET_TIMER]
La minuterie arrive presque à la fin	[IN:GET_TIMER [SL:METHOD_TIMER minuterie SL:METHOD_TIMER] IN:GET_TIMER]
Mets en pause ce compte à rebours	[IN:PAUSE_TIMER [SL:METHOD_TIMER compte à rebours SL:METHOD_TIMER] IN:PAUSE_TIMER]
Interromps mon compte à rebours	[IN:PAUSE_TIMER [SL:METHOD_TIMER compte à rebours SL:METHOD_TIMER] IN:PAUSE_TIMER]
Interromps la minuterie	[IN:PAUSE_TIMER [SL:METHOD_TIMER minuterie SL:METHOD_TIMER] IN:PAUSE_TIMER]
Quelle est la date du prochain procès de Bill Cosby	[IN:QUESTION_NEWS [SL:NEWS_TOPIC date du prochain procès de Bill Cosby SL:NEWS_TOPIC] IN:QUESTION_NEWS]
Trouve l' article de CNN sur les restrictions de votes	[IN:GET_STORIES_NEWS [SL:NEWS_SOURCE CNN SL:NEWS_SOURCE] [SL:NEWS_TYPE article SL:NEWS_TYPE] [SL:NEWS_TOPIC restrictions de votes SL:NEWS_TOPIC] IN:GET_STORIES_NEWS]
J' ai besoin d' une minuterie qui se déclenche dans 20 minutes	[IN:CREATE_TIMER [SL:METHOD_TIMER minuterie SL:METHOD_TIMER] [SL:DATE_TIME dans 20 minutes SL:DATE_TIME] IN:CREATE_TIMER]
Le commandant de Johnsonville a - t - il été condamné	[IN:QUESTION_NEWS [SL:NEWS_TOPIC commandant de Johnsonville a - t - il été condamné SL:NEWS_TOPIC] IN:QUESTION_NEWS]
Qui a gagné les élections en France	[IN:QUESTION_NEWS [SL:NEWS_TOPIC a gagné les élections en France SL:NEWS_TOPIC] IN:QUESTION_NEWS]
quel est le taux d' homicides à Chicago	[IN:QUESTION_NEWS [SL:NEWS_TOPIC taux d' homicides à Chicago SL:NEWS_TOPIC] IN:QUESTION_NEWS]
qui a gagné le débat républicain	[IN:QUESTION_NEWS [SL:NEWS_TOPIC a gagné le débat républicain SL:NEWS_TOPIC] IN:QUESTION_NEWS]
quels sont les résultats de clôture de la bourse	[IN:QUESTION_NEWS [SL:NEWS_TOPIC bourse SL:NEWS_TOPIC] IN:QUESTION_NEWS]
quels étaient les titres sur pix news hier soir	[IN:GET_STORIES_NEWS [SL:NEWS_TYPE titres SL:NEWS_TYPE] [SL:NEWS_SOURCE pix news SL:NEWS_SOURCE] [SL:DATE_TIME hier soir SL:DATE_TIME] IN:GET_STORIES_NEWS]
état de l' ouragan Lana	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE ouragan Lana SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
qu' est ce qu' a fait le président Trump aujourd'hui	[IN:QUESTION_NEWS [SL:NEWS_TOPIC a fait le président Trump SL:NEWS_TOPIC] [SL:DATE_TIME aujourd'hui SL:DATE_TIME] IN:QUESTION_NEWS]
Donne - moi des nouvelles de la NASA	[IN:GET_STORIES_NEWS [SL:NEWS_TYPE nouvelles SL:NEWS_TYPE] [SL:NEWS_TOPIC de la NASA SL:NEWS_TOPIC] IN:GET_STORIES_NEWS]
fournis plus de détails sur les filles qui sont mortes lors d' une poursuite policière et qui étaient de jeunes enfants	[IN:GET_STORIES_NEWS [SL:NEWS_TYPE détails SL:NEWS_TYPE] [SL:NEWS_TOPIC   filles   qui   sont   mortes   lors   d'   une   poursuite   policière   et   qui   étaient   de   jeunes   enfants SL:NEWS_TOPIC] IN:GET_STORIES_NEWS]
des gros titres à propos d' Obama	[IN:GET_STORIES_NEWS [SL:NEWS_TYPE gros titres SL:NEWS_TYPE] [SL:NEWS_TOPIC Obama SL:NEWS_TOPIC] IN:GET_STORIES_NEWS]
donne moi les actualités pour the colts	[IN:GET_STORIES_NEWS [SL:NEWS_TYPE actualités SL:NEWS_TYPE] [SL:NEWS_TOPIC colts SL:NEWS_TOPIC] IN:GET_STORIES_NEWS]
s' il te plaît , règle l' alarme pour 1 heure	[IN:CREATE_ALARM [SL:DATE_TIME pour 1 heure SL:DATE_TIME] IN:CREATE_ALARM]
peux - tu me donner plus de nouvelles à propos de la politique	[IN:GET_STORIES_NEWS [SL:NEWS_TYPE nouvelles SL:NEWS_TYPE] [SL:NEWS_CATEGORY politique SL:NEWS_CATEGORY] IN:GET_STORIES_NEWS]
TITRES DE L' ACTUALITÉ POLITIQUE S’ IL TE PLAÎT	[IN:GET_STORIES_NEWS [SL:NEWS_CATEGORY POLITIQUE SL:NEWS_CATEGORY] [SL:NEWS_TYPE TITRES DE L' ACTUALITÉ SL:NEWS_TYPE] IN:GET_STORIES_NEWS]
qui se présente à la présidence	[IN:QUESTION_NEWS [SL:NEWS_TOPIC qui se présente à la présidence SL:NEWS_TOPIC] IN:QUESTION_NEWS]
retire dix minutes de la minuterie d' aujourd'hui	[IN:SUBTRACT_TIME_TIMER [SL:METHOD_TIMER minuterie SL:METHOD_TIMER] [SL:DATE_TIME dix minutes SL:DATE_TIME] IN:SUBTRACT_TIME_TIMER]
J' ai besoin d' une alarme pour cinq heures à partir de maintenant	[IN:CREATE_ALARM [SL:DATE_TIME pour cinq heures à partir de maintenant SL:DATE_TIME] IN:CREATE_ALARM]
Merci de mettre une minuterie de 35 minutes	[IN:CREATE_TIMER [SL:METHOD_TIMER minuterie SL:METHOD_TIMER] [SL:DATE_TIME de 35 minutes SL:DATE_TIME] IN:CREATE_TIMER]
lis - moi le titre principal	[IN:GET_STORIES_NEWS [SL:NEWS_REFERENCE principal SL:NEWS_REFERENCE] [SL:NEWS_TYPE titre SL:NEWS_TYPE] IN:GET_STORIES_NEWS]
Ajoute 8 minutes à la minuterie	[IN:ADD_TIME_TIMER [SL:DATE_TIME 8 minutes SL:DATE_TIME] [SL:METHOD_TIMER minuterie SL:METHOD_TIMER] IN:ADD_TIME_TIMER]
Mets une minuterie pour dans 45 minutes	[IN:CREATE_TIMER [SL:METHOD_TIMER minuterie SL:METHOD_TIMER] [SL:DATE_TIME pour dans 45 minutes SL:DATE_TIME] IN:CREATE_TIMER]
Quelles sont les nouvelles tendances aujourd'hui	[IN:GET_STORIES_NEWS [SL:NEWS_REFERENCE tendances SL:NEWS_REFERENCE] [SL:NEWS_TYPE nouvelles SL:NEWS_TYPE] [SL:DATE_TIME aujourd'hui SL:DATE_TIME] IN:GET_STORIES_NEWS]
Lis les titres des actualités s' il te plaît	[IN:GET_STORIES_NEWS [SL:NEWS_TYPE les titres des actualités SL:NEWS_TYPE] IN:GET_STORIES_NEWS]
Récupère les informations du Washington Post	[IN:GET_STORIES_NEWS [SL:NEWS_TYPE informations SL:NEWS_TYPE] [SL:NEWS_SOURCE Washington Post SL:NEWS_SOURCE] IN:GET_STORIES_NEWS]
À quelle heure commencent les actualités sur CBS demain	[IN:GET_STORIES_NEWS [SL:NEWS_SOURCE CBS SL:NEWS_SOURCE] [SL:NEWS_TYPE actualités SL:NEWS_TYPE] [SL:DATE_TIME demain SL:DATE_TIME] IN:GET_STORIES_NEWS]
quels sont les grands titres de cbs news	[IN:GET_STORIES_NEWS [SL:NEWS_REFERENCE grands SL:NEWS_REFERENCE] [SL:NEWS_TYPE titres SL:NEWS_TYPE] [SL:NEWS_SOURCE cbs SL:NEWS_SOURCE] [SL:NEWS_TYPE news SL:NEWS_TYPE] IN:GET_STORIES_NEWS]
modifie la minuterie en y ajoutant 15 minutes	[IN:ADD_TIME_TIMER [SL:METHOD_TIMER minuterie SL:METHOD_TIMER] [SL:DATE_TIME 15 minutes SL:DATE_TIME] IN:ADD_TIME_TIMER]
Fixe ma minuterie sur 30 minutes	[IN:CREATE_TIMER [SL:METHOD_TIMER minuterie SL:METHOD_TIMER] [SL:DATE_TIME sur 30 minutes SL:DATE_TIME] IN:CREATE_TIMER]
Règle une autre minuterie pour dix minutes	[IN:CREATE_TIMER [SL:METHOD_TIMER minuterie SL:METHOD_TIMER] [SL:DATE_TIME pour dix minutes SL:DATE_TIME] IN:CREATE_TIMER]
Quels sont les gros titres d' aujourd'hui	[IN:GET_STORIES_NEWS [SL:NEWS_REFERENCE gros SL:NEWS_REFERENCE] [SL:NEWS_TYPE titres SL:NEWS_TYPE] [SL:DATE_TIME d' aujourd'hui SL:DATE_TIME] IN:GET_STORIES_NEWS]
Donne - moi un reportage sur le Japon	[IN:GET_STORIES_NEWS [SL:NEWS_TYPE reportage SL:NEWS_TYPE] [SL:NEWS_TOPIC Japon SL:NEWS_TOPIC] IN:GET_STORIES_NEWS]
Est - ce que quelqu'un a été blessé à Charlottesville	[IN:QUESTION_NEWS [SL:NEWS_TOPIC blessé à Charlottesville SL:NEWS_TOPIC] IN:QUESTION_NEWS]
règle la minuterie sur 30 min	[IN:CREATE_TIMER [SL:METHOD_TIMER minuterie SL:METHOD_TIMER] [SL:DATE_TIME sur 30 min SL:DATE_TIME] IN:CREATE_TIMER]
Peux - tu ajouter 30 secondes à la minuterie actuelle	[IN:ADD_TIME_TIMER [SL:DATE_TIME 30 secondes SL:DATE_TIME] [SL:METHOD_TIMER minuterie SL:METHOD_TIMER] IN:ADD_TIME_TIMER]
Règle une alarme répétitive à partir de 13 h chaque jour	[IN:CREATE_ALARM [SL:DATE_TIME à partir de 13 h chaque jour SL:DATE_TIME] IN:CREATE_ALARM]
quelle est la durée restante sur ma minuterie actuelle	[IN:GET_TIMER [SL:METHOD_TIMER minuterie SL:METHOD_TIMER] IN:GET_TIMER]
Pause ma minuterie actuel , s' il te plaît	[IN:PAUSE_TIMER [SL:METHOD_TIMER minuterie SL:METHOD_TIMER] IN:PAUSE_TIMER]
Vas - y définis l' alarme pour 5 h du matin	[IN:CREATE_ALARM [SL:DATE_TIME pour 5 h du matin SL:DATE_TIME] IN:CREATE_ALARM]
De quoi Anderson Cooper a parlé en dernier	[IN:QUESTION_NEWS [SL:NEWS_TOPIC Anderson Cooper SL:NEWS_TOPIC] IN:QUESTION_NEWS]
Les gros titres internationaux de CNN	[IN:GET_STORIES_NEWS [SL:NEWS_SOURCE CNN SL:NEWS_SOURCE] [SL:NEWS_CATEGORY internationaux SL:NEWS_CATEGORY] [SL:NEWS_TYPE gros titres SL:NEWS_TYPE] IN:GET_STORIES_NEWS]
FIXE L' ALARME POUR 15 MINUTES	[IN:CREATE_ALARM [SL:DATE_TIME POUR 15 MINUTES SL:DATE_TIME] IN:CREATE_ALARM]
Ajoute cinq minutes	[IN:ADD_TIME_TIMER [SL:DATE_TIME cinq minutes SL:DATE_TIME] IN:ADD_TIME_TIMER]
parle - moi des nouvelles de la ville aujourd'hui	[IN:GET_STORIES_NEWS [SL:NEWS_CATEGORY ville SL:NEWS_CATEGORY] [SL:NEWS_TYPE nouvelles SL:NEWS_TYPE] [SL:DATE_TIME aujourd'hui SL:DATE_TIME] IN:GET_STORIES_NEWS]
Où a eu lieu le tremblement de terre	[IN:QUESTION_NEWS [SL:NEWS_TOPIC tremblement de terre SL:NEWS_TOPIC] IN:QUESTION_NEWS]
Prévois une alarme pour demain matin à 10 h	[IN:CREATE_ALARM [SL:DATE_TIME pour demain matin à 10 h SL:DATE_TIME] IN:CREATE_ALARM]
Quels sont les gros titres les plus récents de Fox News	[IN:GET_STORIES_NEWS [SL:NEWS_SOURCE Fox News SL:NEWS_SOURCE] [SL:NEWS_REFERENCE plus SL:NEWS_REFERENCE] [SL:DATE_TIME récents SL:DATE_TIME] [SL:NEWS_TYPE gros titres SL:NEWS_TYPE] IN:GET_STORIES_NEWS]
Règle la minuterie pour qu' il démarre à l' aube	[IN:CREATE_TIMER [SL:METHOD_TIMER minuterie SL:METHOD_TIMER] [SL:DATE_TIME à l' aube SL:DATE_TIME] IN:CREATE_TIMER]
Quelles sont les dernières nouvelles du monde du divertissement ?	[IN:GET_STORIES_NEWS [SL:NEWS_REFERENCE dernières SL:NEWS_REFERENCE] [SL:NEWS_CATEGORY monde du divertissement SL:NEWS_CATEGORY] [SL:NEWS_TYPE nouvelles SL:NEWS_TYPE] IN:GET_STORIES_NEWS]
Ajoute cinq minutes de plus à ma minuterie actuelle	[IN:ADD_TIME_TIMER [SL:DATE_TIME cinq minutes SL:DATE_TIME] [SL:METHOD_TIMER minuterie SL:METHOD_TIMER] IN:ADD_TIME_TIMER]
Lis les détails sur le président Zuma d' Afrique du Sud	[IN:GET_DETAILS_NEWS [SL:NEWS_TYPE détails SL:NEWS_TYPE] [SL:NEWS_TOPIC président Zuma d' Afrique du Sud SL:NEWS_TOPIC] IN:GET_DETAILS_NEWS]
En quelle année a eu lieu Pearl Harbor	[IN:QUESTION_NEWS [SL:NEWS_TOPIC En quelle année a eu lieu Pearl Harbor SL:NEWS_TOPIC] IN:QUESTION_NEWS]
lis les titres sur Fox News s' il te plaît	[IN:GET_STORIES_NEWS [SL:NEWS_TYPE titres SL:NEWS_TYPE] [SL:NEWS_SOURCE Fox News SL:NEWS_SOURCE] IN:GET_STORIES_NEWS]
Quels aliments contiennent de la vitamine b12	[IN:GET_INFO_RECIPES [SL:RECIPES_TYPE_NUTRITION b12 SL:RECIPES_TYPE_NUTRITION] IN:GET_INFO_RECIPES]
gros titres sur le sport	[IN:GET_STORIES_NEWS [SL:NEWS_CATEGORY sport SL:NEWS_CATEGORY] [SL:NEWS_TYPE gros titres SL:NEWS_TYPE] IN:GET_STORIES_NEWS]
À quel point fera - t - il chaud demain en celsius	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE chaud SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME demain SL:DATE_TIME] [SL:WEATHER_TEMPERATURE_UNIT celsius SL:WEATHER_TEMPERATURE_UNIT] IN:GET_WEATHER]
Fera - t - il plus de 49 F houston la semaine prochaine	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE plus de SL:WEATHER_ATTRIBUTE] [SL:WEATHER_ATTRIBUTE 49 SL:WEATHER_ATTRIBUTE] [SL:WEATHER_TEMPERATURE_UNIT F SL:WEATHER_TEMPERATURE_UNIT] [SL:LOCATION houston SL:LOCATION] [SL:DATE_TIME semaine prochaine SL:DATE_TIME] IN:GET_WEATHER]
Est - ce qu' il fera plus de 63 degrés F à Paris demain	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE plus de SL:WEATHER_ATTRIBUTE] [SL:WEATHER_ATTRIBUTE 63 SL:WEATHER_ATTRIBUTE] [SL:WEATHER_TEMPERATURE_UNIT F SL:WEATHER_TEMPERATURE_UNIT] [SL:LOCATION Paris SL:LOCATION] [SL:DATE_TIME demain SL:DATE_TIME] IN:GET_WEATHER]
Fera - t - il autour de 0 degré Celsius pendant ce week - end	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE autour SL:WEATHER_ATTRIBUTE] [SL:WEATHER_ATTRIBUTE 0 SL:WEATHER_ATTRIBUTE] [SL:WEATHER_TEMPERATURE_UNIT Celsius SL:WEATHER_TEMPERATURE_UNIT] [SL:LOCATION pendant SL:LOCATION] [SL:DATE_TIME ce week - end SL:DATE_TIME] IN:GET_WEATHER]
Température à l' extérieur aujourd'hui en degrés Fahrenheit	[IN:GET_WEATHER [SL:LOCATION à l' extérieur SL:LOCATION] [SL:DATE_TIME aujourd'hui SL:DATE_TIME] [SL:WEATHER_TEMPERATURE_UNIT degrés Fahrenheit SL:WEATHER_TEMPERATURE_UNIT] IN:GET_WEATHER]
La température à Shanghai ce weekend en Fahrenheit	[IN:GET_WEATHER [SL:LOCATION Shanghai SL:LOCATION] [SL:DATE_TIME ce weekend SL:DATE_TIME] [SL:WEATHER_TEMPERATURE_UNIT Fahrenheit SL:WEATHER_TEMPERATURE_UNIT] IN:GET_WEATHER]
Va - t - il faire plus de 90 degrés Fahrenheit demain matin	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE plus de SL:WEATHER_ATTRIBUTE] [SL:WEATHER_ATTRIBUTE 90 SL:WEATHER_ATTRIBUTE] [SL:WEATHER_TEMPERATURE_UNIT Fahrenheit SL:WEATHER_TEMPERATURE_UNIT] [SL:DATE_TIME demain matin SL:DATE_TIME] IN:GET_WEATHER]
Température de demain en Fahrenheit	[IN:GET_WEATHER [SL:DATE_TIME demain SL:DATE_TIME] [SL:WEATHER_TEMPERATURE_UNIT Fahrenheit SL:WEATHER_TEMPERATURE_UNIT] IN:GET_WEATHER]
Fera - t - il moins de 41 degrés Fahrenheit ici demain matin	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE moins de SL:WEATHER_ATTRIBUTE] [SL:WEATHER_ATTRIBUTE 41 SL:WEATHER_ATTRIBUTE] [SL:WEATHER_TEMPERATURE_UNIT Fahrenheit SL:WEATHER_TEMPERATURE_UNIT] [SL:LOCATION ici SL:LOCATION] [SL:DATE_TIME demain matin SL:DATE_TIME] IN:GET_WEATHER]
Quelle est la température à Miami	[IN:GET_WEATHER [SL:LOCATION Miami SL:LOCATION] IN:GET_WEATHER]
à quelle température interne une côte de porc doit - elle être pour être consommée sans danger	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE température SL:RECIPES_ATTRIBUTE] [SL:RECIPES_INCLUDED_INGREDIENT côte de porc SL:RECIPES_INCLUDED_INGREDIENT] IN:GET_INFO_RECIPES]
comment faire un sandwich grillé au fromage	[IN:GET_RECIPES [SL:RECIPES_DISH sandwich grillé au fromage SL:RECIPES_DISH] IN:GET_RECIPES]
ai - je besoin de mesurer les ingrédients pour une recette	[IN:IS_TRUE_RECIPES [SL:RECIPES_ATTRIBUTE ingrédients SL:RECIPES_ATTRIBUTE] [SL:METHOD_RECIPES recette SL:METHOD_RECIPES] IN:IS_TRUE_RECIPES]
Comment prépare - t - on le poulet	[IN:GET_RECIPES [SL:RECIPES_DISH poulet SL:RECIPES_DISH] IN:GET_RECIPES]
comment cuire des pâtes	[IN:GET_RECIPES [SL:RECIPES_DISH pâtes SL:RECIPES_DISH] IN:GET_RECIPES]
Recette avec du thé matcha	[IN:GET_RECIPES [SL:RECIPES_INCLUDED_INGREDIENT thé matcha SL:RECIPES_INCLUDED_INGREDIENT] IN:GET_RECIPES]
Quelles recettes de dîner puis - je faire avec du beurre de cacahuètes	[IN:GET_RECIPES [SL:RECIPES_MEAL dîner SL:RECIPES_MEAL] [SL:RECIPES_INCLUDED_INGREDIENT beurre de cacahuètes SL:RECIPES_INCLUDED_INGREDIENT] IN:GET_RECIPES]
Comment faire la sauce blanche pour pizza	[IN:GET_RECIPES [SL:RECIPES_DISH sauce blanche SL:RECIPES_DISH] [SL:RECIPES_DISH pizza SL:RECIPES_DISH] IN:GET_RECIPES]
Recettes sans gluten	[IN:GET_RECIPES [SL:RECIPES_EXCLUDED_INGREDIENT gluten SL:RECIPES_EXCLUDED_INGREDIENT] IN:GET_RECIPES]
De quels ingrédients ai - je besoin pour préparer une salade de chou	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE ingrédients SL:RECIPES_ATTRIBUTE] [SL:RECIPES_DISH salade de chou SL:RECIPES_DISH] IN:GET_INFO_RECIPES]
Comment faire de la lasagne végétarienne	[IN:GET_RECIPES [SL:RECIPES_TYPE végétarienne SL:RECIPES_TYPE] [SL:RECIPES_DISH lasagne SL:RECIPES_DISH] IN:GET_RECIPES]
Montre - moi des recettes de chili	[IN:GET_RECIPES [SL:RECIPES_DISH chili SL:RECIPES_DISH] IN:GET_RECIPES]
Combien de temps doit cuire un rôti de porc	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE Combien de temps SL:RECIPES_ATTRIBUTE] [SL:RECIPES_DISH rôti de porc SL:RECIPES_DISH] IN:GET_INFO_RECIPES]
Comment prépare - t - on une pâte à tarte	[IN:GET_RECIPES [SL:RECIPES_DISH pâte à tarte SL:RECIPES_DISH] IN:GET_RECIPES]
donne - moi une liste de bons plats avec du poulet	[IN:GET_RECIPES [SL:RECIPES_RATING bons SL:RECIPES_RATING] [SL:RECIPES_DISH poulet SL:RECIPES_DISH] IN:GET_RECIPES]
Comment faire des lasagnes	[IN:GET_RECIPES [SL:RECIPES_DISH lasagnes SL:RECIPES_DISH] IN:GET_RECIPES]
Comment faire des lasagnes	[IN:GET_RECIPES [SL:RECIPES_DISH lasagnes SL:RECIPES_DISH] IN:GET_RECIPES]
Qu' est - ce que je rajoute aux lasagnes	[IN:GET_INFO_RECIPES [SL:RECIPES_DISH lasagnes SL:RECIPES_DISH] IN:GET_INFO_RECIPES]
À quelle température la nourriture chaude doit - elle être maintenue	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE température SL:RECIPES_ATTRIBUTE] IN:GET_INFO_RECIPES]
que peut - on faire avec du bouillon de poulet	[IN:GET_RECIPES [SL:RECIPES_INCLUDED_INGREDIENT bouillon de poulet SL:RECIPES_INCLUDED_INGREDIENT] IN:GET_RECIPES]
Trouve - moi une recette pour une salade de poulet	[IN:GET_RECIPES [SL:RECIPES_DISH salade de poulet SL:RECIPES_DISH] IN:GET_RECIPES]
Trouve - moi la meilleure recette de cheesecake	[IN:GET_RECIPES [SL:RECIPES_RATING meilleure SL:RECIPES_RATING] [SL:RECIPES_DISH cheesecake SL:RECIPES_DISH] IN:GET_RECIPES]
Y a - t - il du verglas prévu cette semaine	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE verglas SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME cette semaine SL:DATE_TIME] IN:GET_WEATHER]
Y a - t - il des tempêtes tropicales qui se dirigent vers la Floride	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE tempêtes tropicales SL:WEATHER_ATTRIBUTE] [SL:LOCATION Floride SL:LOCATION] IN:GET_WEATHER]
QUELLE CHALEUR VA - T - IL FAIRE À HEMET , EN CALIFORNIE , CE WEEK - END	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE CHALEUR SL:WEATHER_ATTRIBUTE] [SL:LOCATION HEMET , EN CALIFORNIE SL:LOCATION] [SL:DATE_TIME CE WEEK - END SL:DATE_TIME] IN:GET_WEATHER]
comment couper un avocat	[IN:GET_INFO_RECIPES [SL:RECIPES_INCLUDED_INGREDIENT avocat SL:RECIPES_INCLUDED_INGREDIENT] IN:GET_INFO_RECIPES]
Comment préparer une sauce bolognaise	[IN:GET_RECIPES [SL:RECIPES_DISH sauce bolognaise SL:RECIPES_DISH] IN:GET_RECIPES]
Comment préparer une dinde	[IN:GET_RECIPES [SL:RECIPES_DISH dinde SL:RECIPES_DISH] IN:GET_RECIPES]
Qu' est - ce qui se marie bien avec des lasagnes	[IN:GET_INFO_RECIPES [SL:RECIPES_DISH lasagnes SL:RECIPES_DISH] IN:GET_INFO_RECIPES]
combien de glucides y a - t - il dans les pâtes primavera	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE combien SL:RECIPES_ATTRIBUTE] [SL:RECIPES_TYPE_NUTRITION glucides SL:RECIPES_TYPE_NUTRITION] [SL:RECIPES_DISH pâtes primavera SL:RECIPES_DISH] IN:GET_INFO_RECIPES]
combien de temps pour cuire des lasagnes surgelées	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE combien de temps SL:RECIPES_ATTRIBUTE] [SL:RECIPES_DISH lasagnes surgelées SL:RECIPES_DISH] IN:GET_INFO_RECIPES]
Combien de portions dans la salade de pommes de terre	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE Combien de portions SL:RECIPES_ATTRIBUTE] [SL:RECIPES_DISH salade de pommes de terre SL:RECIPES_DISH] IN:GET_INFO_RECIPES]
Combien de calories dans un milk - shake au chocolat de 12 onces ?	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE Combien de SL:RECIPES_ATTRIBUTE] [SL:RECIPES_UNIT_NUTRITION calories SL:RECIPES_UNIT_NUTRITION] [SL:RECIPES_UNIT_MEASUREMENT 12 onces SL:RECIPES_UNIT_MEASUREMENT] [SL:RECIPES_DISH milk - shake au chocolat SL:RECIPES_DISH] IN:GET_INFO_RECIPES]
Est - ce qu' il y a beaucoup de brouillard aujourd'hui	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE brouillard SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME aujourd'hui SL:DATE_TIME] IN:GET_WEATHER]
S' il te plaît , joue The Eagles	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME The Eagles SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Quel est le nom de ce morceau	[IN:GET_TRACK_INFO_MUSIC [SL:MUSIC_TYPE morceau SL:MUSIC_TYPE] IN:GET_TRACK_INFO_MUSIC]
