Antworte im Chat mit der Kirchenführung	[IN:SEND_MESSAGE [SL:GROUP Kirchenführung SL:GROUP] IN:SEND_MESSAGE]
Was sind die neuesten Nachrichten auf Fox	[IN:GET_STORIES_NEWS [SL:DATE_TIME neuesten SL:DATE_TIME] [SL:NEWS_TYPE Nachrichten SL:NEWS_TYPE] [SL:NEWS_SOURCE Fox SL:NEWS_SOURCE] IN:GET_STORIES_NEWS]
Starte jetzt die Zeit	[IN:CREATE_TIMER [SL:METHOD_TIMER Zeit SL:METHOD_TIMER] IN:CREATE_TIMER]
Spiele nicht irgendein DEVO !	[IN:REMOVE_FROM_PLAYLIST_MUSIC [SL:MUSIC_ARTIST_NAME DEVO SL:MUSIC_ARTIST_NAME] IN:REMOVE_FROM_PLAYLIST_MUSIC]
Irgendwelche aktuellen Nachrichten zu den Schließungen lokaler Geschäfte ?	[IN:GET_STORIES_NEWS [SL:DATE_TIME aktuellen SL:DATE_TIME] [SL:NEWS_TYPE Nachrichten SL:NEWS_TYPE] [SL:NEWS_TOPIC lokaler Geschäfte SL:NEWS_TOPIC] IN:GET_STORIES_NEWS]
Wurde heute der FBI - Direktor gefeuert ?	[IN:QUESTION_NEWS [SL:NEWS_TOPIC FBI - Direktor gefeuert SL:NEWS_TOPIC] [SL:DATE_TIME heute SL:DATE_TIME] IN:QUESTION_NEWS]
Gib mir ein Nachrichten - Update über die Atlanta Falcons	[IN:GET_STORIES_NEWS [SL:NEWS_TYPE Nachrichten - SL:NEWS_TYPE] [SL:NEWS_TOPIC Atlanta Falcons SL:NEWS_TOPIC] IN:GET_STORIES_NEWS]
Spiele Hip - Hop - Musik .	[IN:PLAY_MUSIC [SL:MUSIC_GENRE Hip - Hop - SL:MUSIC_GENRE] [SL:MUSIC_TYPE Musik SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Sollte ich heute Abend eine Jacke tragen ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE Jacke SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME heute Abend SL:DATE_TIME] IN:GET_WEATHER]
Erstelle einen Wecker für morgen früh um	[IN:CREATE_ALARM [SL:DATE_TIME für morgen früh SL:DATE_TIME] IN:CREATE_ALARM]
Lies mir die neuesten lokalen Nachrichten - Schlagzeilen vor	[IN:GET_STORIES_NEWS [SL:DATE_TIME neuesten SL:DATE_TIME] [SL:NEWS_CATEGORY lokalen SL:NEWS_CATEGORY] [SL:NEWS_TYPE Nachrichten - Schlagzeilen SL:NEWS_TYPE] IN:GET_STORIES_NEWS]
Werde ich heute in einen Sturm geraten ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE Sturm SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME heute SL:DATE_TIME] IN:GET_WEATHER]
Wird es wegen dem Regen Überflutungen geben ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE Überflutungen SL:WEATHER_ATTRIBUTE] [SL:WEATHER_ATTRIBUTE Regen SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
Wie ist das Wetter am Strand ?	[IN:GET_WEATHER [SL:LOCATION Strand SL:LOCATION] IN:GET_WEATHER]
Stelle Wecker für jede Stunde zur vollen Stunde .	[IN:CREATE_ALARM [SL:DATE_TIME für jede Stunde zur vollen Stunde SL:DATE_TIME] IN:CREATE_ALARM]
Lies mir die letzten Schlagzeilen von Charlottesville vor .	[IN:GET_STORIES_NEWS [SL:DATE_TIME letzten SL:DATE_TIME] [SL:NEWS_TYPE Schlagzeilen SL:NEWS_TYPE] [SL:NEWS_TOPIC Charlottesville SL:NEWS_TOPIC] IN:GET_STORIES_NEWS]
Stelle einen täglichen Wecker um 19 : 00 Uhr .	[IN:CREATE_ALARM [SL:DATE_TIME täglichen um 19 : 00 Uhr SL:DATE_TIME] IN:CREATE_ALARM]
Wie viel Schnee wird Milwaukee bekommen ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE Schnee SL:WEATHER_ATTRIBUTE] [SL:LOCATION Milwaukee SL:LOCATION] IN:GET_WEATHER]
Wie lauten die Schlagzeilen der Ohio News ?	[IN:GET_STORIES_NEWS [SL:NEWS_TYPE Schlagzeilen SL:NEWS_TYPE] [SL:NEWS_TOPIC Ohio SL:NEWS_TOPIC] [SL:NEWS_TYPE News SL:NEWS_TYPE] IN:GET_STORIES_NEWS]
Kannst du mir mehr Information zu dem Beschluss des Bundeshaushalts von gestern geben .	[IN:GET_STORIES_NEWS [SL:NEWS_TYPE Information SL:NEWS_TYPE] [SL:NEWS_TOPIC Beschluss des Bundeshaushalts SL:NEWS_TOPIC] [SL:DATE_TIME von gestern SL:DATE_TIME] IN:GET_STORIES_NEWS]
Musik aus den Filmen	[IN:PLAY_MUSIC [SL:MUSIC_TYPE Musik SL:MUSIC_TYPE] [SL:MUSIC_GENRE aus den Filmen SL:MUSIC_GENRE] IN:PLAY_MUSIC]
was sind die neuesten Nachrichten über Nordkorea ?	[IN:GET_STORIES_NEWS [SL:NEWS_TYPE Nachrichten SL:NEWS_TYPE] [SL:NEWS_TOPIC Nordkorea SL:NEWS_TOPIC] IN:GET_STORIES_NEWS]
Wann soll der Timer laut Plan beginnen ?	[IN:GET_TIMER [SL:METHOD_TIMER Timer SL:METHOD_TIMER] IN:GET_TIMER]
Nachrichten über die Urlaube von Obama	[IN:GET_STORIES_NEWS [SL:NEWS_TYPE Nachrichten SL:NEWS_TYPE] [SL:NEWS_TOPIC Urlaube von Obama SL:NEWS_TOPIC] IN:GET_STORIES_NEWS]
Wie ist das Wetter in Branson am 11 . September ?	[IN:GET_WEATHER [SL:LOCATION Branson SL:LOCATION] [SL:DATE_TIME am 11 . September SL:DATE_TIME] IN:GET_WEATHER]
Stelle einen Timer für 3 Stunden .	[IN:CREATE_TIMER [SL:METHOD_TIMER Timer SL:METHOD_TIMER] [SL:DATE_TIME für 3 Stunden SL:DATE_TIME] IN:CREATE_TIMER]
Wie viel Zeit ist noch auf dem Timer	[IN:GET_TIMER [SL:METHOD_TIMER Timer SL:METHOD_TIMER] IN:GET_TIMER]
Spiel den Heavy Metal Kanal	[IN:PLAY_MUSIC [SL:MUSIC_GENRE Heavy Metal SL:MUSIC_GENRE] [SL:MUSIC_TYPE Kanal SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Wie ist die Temperatur heute in Yucaipa ?	[IN:GET_WEATHER [SL:LOCATION Yucaipa SL:LOCATION] [SL:DATE_TIME heute SL:DATE_TIME] IN:GET_WEATHER]
Ist es heute Morgen draußen neblig ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE neblig SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME heute Morgen SL:DATE_TIME] IN:GET_WEATHER]
Um wie viel Uhr ist mein nächster Wecker gestellt	[IN:GET_ALARM [SL:ORDINAL nächster SL:ORDINAL] IN:GET_ALARM]
Wie lange soll es regnen ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE regnen SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
Überspringe das Lied , das gerade spielt	[IN:SKIP_TRACK_MUSIC [SL:MUSIC_TYPE Lied SL:MUSIC_TYPE] [SL:ORDINAL gerade SL:ORDINAL] IN:SKIP_TRACK_MUSIC]
Ist für die Nacht Schnee vorhergesagt ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE Schnee SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME für die Nacht SL:DATE_TIME] IN:GET_WEATHER]
Wie ist die Temperatur im Haus ?	[IN:GET_WEATHER [SL:LOCATION Haus SL:LOCATION] IN:GET_WEATHER]
Füge 20 Sekunden zu dem Wandsitz - Timer hinzu	[IN:ADD_TIME_TIMER [SL:DATE_TIME 20 Sekunden SL:DATE_TIME] [SL:METHOD_TIMER Timer SL:METHOD_TIMER] IN:ADD_TIME_TIMER]
Wie ist das Wetter in San Jose im Februar	[IN:GET_WEATHER [SL:LOCATION San Jose SL:LOCATION] [SL:DATE_TIME im Februar SL:DATE_TIME] IN:GET_WEATHER]
Aktuelle Zeit übrig	[IN:GET_TIMER [SL:METHOD_TIMER Zeit SL:METHOD_TIMER] IN:GET_TIMER]
Spiele eine Indie - Rock - Playlist .	[IN:PLAY_MUSIC [SL:MUSIC_GENRE Indie - Rock SL:MUSIC_GENRE] [SL:MUSIC_TYPE Playlist SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Stelle einen Wecker für alle 60 Sekunden für 10 Minuten .	[IN:CREATE_ALARM [SL:PERIOD alle 60 Sekunden SL:PERIOD] [SL:DATE_TIME für 10 Minuten SL:DATE_TIME] IN:CREATE_ALARM]
Stelle meinen Wecker für 17 : 00 Uhr heute Abend	[IN:CREATE_ALARM [SL:DATE_TIME für 17 : 00 Uhr heute Abend SL:DATE_TIME] IN:CREATE_ALARM]
Wie ist das Wetter im Oktober in Colorado ?	[IN:GET_WEATHER [SL:LOCATION Colorado SL:LOCATION] [SL:DATE_TIME im Oktober SL:DATE_TIME] IN:GET_WEATHER]
Stelle einen Timer - Wecker für 15 Minuten nach dem Start	[IN:CREATE_TIMER [SL:DATE_TIME für 15 Minuten SL:DATE_TIME] IN:CREATE_TIMER]
Stelle einen Wecker für 5 : 00 Uhr	[IN:CREATE_ALARM [SL:DATE_TIME für 5 : 00 Uhr SL:DATE_TIME] IN:CREATE_ALARM]
ändere den Timer zu eineinhalb Stunden	[IN:UPDATE_TIMER [SL:METHOD_TIMER Timer SL:METHOD_TIMER] [SL:DATE_TIME zu eineinhalb Stunden SL:DATE_TIME] IN:UPDATE_TIMER]
Stelle einen Wecker auf alle 15 Minuten für eine Stunde	[IN:CREATE_ALARM [SL:PERIOD alle 15 Minuten SL:PERIOD] [SL:DATE_TIME für eine Stunde SL:DATE_TIME] IN:CREATE_ALARM]
Wird es nächsten Dienstag regnen ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE regnen SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME nächsten Dienstag SL:DATE_TIME] IN:GET_WEATHER]
Setzte Timer Schachstudium fort	[IN:RESUME_TIMER [SL:METHOD_TIMER Timer SL:METHOD_TIMER] IN:RESUME_TIMER]
Wann wird es heute in Conyers anfangen zu regnen ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE regnen SL:WEATHER_ATTRIBUTE] [SL:LOCATION Conyers SL:LOCATION] [SL:DATE_TIME heute SL:DATE_TIME] IN:GET_WEATHER]
Bitte lies mir die Details von Ushers Gerichtsverfahren vor	[IN:GET_STORIES_NEWS [SL:NEWS_TYPE Details SL:NEWS_TYPE] [SL:NEWS_TOPIC Ushers Gerichtsverfahren SL:NEWS_TOPIC] IN:GET_STORIES_NEWS]
FÜGE DEM TIMER 1,5 MINUTEN HINZU	[IN:ADD_TIME_TIMER [SL:DATE_TIME 1,5 MINUTEN SL:DATE_TIME] [SL:METHOD_TIMER TIMER SL:METHOD_TIMER] IN:ADD_TIME_TIMER]
Wie ist das Wetter gerade in Italien ?	[IN:GET_WEATHER [SL:LOCATION Italien SL:LOCATION] IN:GET_WEATHER]
Wird es am Donnerstag in Overland Park schneien ?	[IN:GET_WEATHER [SL:LOCATION Overland Park SL:LOCATION] [SL:WEATHER_ATTRIBUTE schneien SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME am Donnerstag SL:DATE_TIME] IN:GET_WEATHER]
Spiel mir etwas Smooth Jazz	[IN:PLAY_MUSIC [SL:MUSIC_GENRE Smooth Jazz SL:MUSIC_GENRE] IN:PLAY_MUSIC]
Stelle den Wecker auf 9 : 00 Uhr morgen früh	[IN:CREATE_ALARM [SL:DATE_TIME auf 9 : 00 Uhr morgen früh SL:DATE_TIME] IN:CREATE_ALARM]
Wie ist das aktuelle Wetter in Los Angeles ?	[IN:GET_WEATHER [SL:LOCATION Los Angeles SL:LOCATION] IN:GET_WEATHER]
Sollte ich morgen einen Regenschirm mitnehmen ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE Regenschirm SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME morgen SL:DATE_TIME] IN:GET_WEATHER]
Bitte spiele mir Musik Hits	[IN:PLAY_MUSIC [SL:MUSIC_GENRE Musik SL:MUSIC_GENRE] [SL:MUSIC_TYPE Hits SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Stelle einen Wecker für 18 : 00 Uhr	[IN:CREATE_ALARM [SL:DATE_TIME für 18 : 00 Uhr SL:DATE_TIME] IN:CREATE_ALARM]
BEGINNE DAS LIED VON VORNE	[IN:REPLAY_MUSIC [SL:MUSIC_TYPE LIED SL:MUSIC_TYPE] IN:REPLAY_MUSIC]
Füge dem Timer elf Minuten hinzu .	[IN:ADD_TIME_TIMER [SL:DATE_TIME elf Minuten SL:DATE_TIME] [SL:METHOD_TIMER Timer SL:METHOD_TIMER] IN:ADD_TIME_TIMER]
Wie ist die Temperatur am Sonntag in New York	[IN:GET_WEATHER [SL:LOCATION New York SL:LOCATION] [SL:DATE_TIME am Sonntag SL:DATE_TIME] IN:GET_WEATHER]
Stelle den Wecker für den Mittagsschlaf	[IN:CREATE_ALARM  IN:CREATE_ALARM]
Gib mir einen aktuellen Bericht über die Kriminalität in Jersey City	[IN:GET_STORIES_NEWS [SL:NEWS_TYPE Bericht SL:NEWS_TYPE] [SL:NEWS_TOPIC die Kriminalität in Jersey City SL:NEWS_TOPIC] IN:GET_STORIES_NEWS]
stelle einen Wecker auf 5 : 30 Uhr	[IN:CREATE_ALARM [SL:DATE_TIME auf 5 : 30 Uhr SL:DATE_TIME] IN:CREATE_ALARM]
Stelle einen Timer , um zu wissen , wann der Ofen gestoppt werden soll	[IN:CREATE_TIMER [SL:METHOD_TIMER Timer SL:METHOD_TIMER] IN:CREATE_TIMER]
Mache meinen 10 : 00 Uhr Wecker für morgen an	[IN:CREATE_ALARM [SL:DATE_TIME 10 : 00 Uhr SL:DATE_TIME] [SL:DATE_TIME für morgen SL:DATE_TIME] IN:CREATE_ALARM]
Ich würde gerne meinen Timer zurücksetzen .	[IN:RESTART_TIMER [SL:METHOD_TIMER Timer SL:METHOD_TIMER] IN:RESTART_TIMER]
Was war das Lied Nummer eins letzte Woche	[IN:QUESTION_MUSIC [SL:MUSIC_TYPE Lied SL:MUSIC_TYPE] IN:QUESTION_MUSIC]
Wie ist das Wetter um 8 : 00 Uhr in Chapel Hill ?	[IN:GET_WEATHER [SL:LOCATION Chapel Hill SL:LOCATION] [SL:DATE_TIME um 8 : 00 Uhr SL:DATE_TIME] IN:GET_WEATHER]
Wird es im Dezember in Baltimore City schneien	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE schneien SL:WEATHER_ATTRIBUTE] [SL:LOCATION Baltimore City SL:LOCATION] [SL:DATE_TIME im Dezember SL:DATE_TIME] IN:GET_WEATHER]
Spiele RnB Musik	[IN:PLAY_MUSIC [SL:MUSIC_GENRE RnB SL:MUSIC_GENRE] [SL:MUSIC_TYPE Musik SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Wie ist die Temperatur in Afghanistan ?	[IN:GET_WEATHER [SL:LOCATION Afghanistan SL:LOCATION] IN:GET_WEATHER]
Bitte spiele das letzte Lied erneut	[IN:PREVIOUS_TRACK_MUSIC [SL:ORDINAL letzte SL:ORDINAL] [SL:MUSIC_TYPE Lied SL:MUSIC_TYPE] IN:PREVIOUS_TRACK_MUSIC]
Lösche das letzte Lied	[IN:STOP_MUSIC [SL:MUSIC_TYPE Lied SL:MUSIC_TYPE] IN:STOP_MUSIC]
Wann klingelt nächster Wecker	[IN:GET_ALARM [SL:ORDINAL nächster SL:ORDINAL] IN:GET_ALARM]
Was sind die neuesten Nachrichten bezüglich Kriminalität	[IN:GET_STORIES_NEWS [SL:DATE_TIME neuesten SL:DATE_TIME] [SL:NEWS_CATEGORY bezüglich Kriminalität SL:NEWS_CATEGORY] [SL:NEWS_TYPE Nachrichten SL:NEWS_TYPE] IN:GET_STORIES_NEWS]
Lies mir die neuesten Sport - Nachrichten über die Cardinals vor .	[IN:GET_STORIES_NEWS [SL:DATE_TIME neuesten SL:DATE_TIME] [SL:NEWS_CATEGORY Sport - SL:NEWS_CATEGORY] [SL:NEWS_TYPE Nachrichten SL:NEWS_TYPE] [SL:NEWS_TOPIC Cardinals SL:NEWS_TOPIC] IN:GET_STORIES_NEWS]
Wetter heute in Jamaika	[IN:GET_WEATHER [SL:LOCATION Jamaika SL:LOCATION] [SL:DATE_TIME heute SL:DATE_TIME] IN:GET_WEATHER]
Erstelle einen Cookie - Timer	[IN:CREATE_TIMER [SL:TIMER_NAME Cookie - SL:TIMER_NAME] [SL:METHOD_TIMER Timer SL:METHOD_TIMER] IN:CREATE_TIMER]
Kannst du den Timer bitte für mich pausieren ?	[IN:PAUSE_TIMER [SL:METHOD_TIMER Timer SL:METHOD_TIMER] IN:PAUSE_TIMER]
STELLE BITTE ZWEI WECKER , EINEN FÜR 17 : 00 UHR UND EINEN FÜR 8 : 00 UHR	[IN:CREATE_ALARM [SL:DATE_TIME FÜR 17 : 00 UHR SL:DATE_TIME] [SL:DATE_TIME FÜR 8 : 00 UHR SL:DATE_TIME] IN:CREATE_ALARM]
Wie wird das Wetter um 17 : 00 Uhr sein ?	[IN:GET_WEATHER [SL:DATE_TIME um 17 : 00 Uhr SL:DATE_TIME] IN:GET_WEATHER]
wie warm ist es heute ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE warm SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME heute SL:DATE_TIME] IN:GET_WEATHER]
Lies die Nachrichten zu aktuellen Krebsstudien	[IN:GET_STORIES_NEWS [SL:NEWS_TYPE Nachrichten SL:NEWS_TYPE] [SL:DATE_TIME zu aktuellen SL:DATE_TIME] [SL:NEWS_TOPIC Krebsstudien SL:NEWS_TOPIC] IN:GET_STORIES_NEWS]
Stelle einen Timer auf 60 Minuten .	[IN:CREATE_TIMER [SL:METHOD_TIMER Timer SL:METHOD_TIMER] [SL:DATE_TIME auf 60 Minuten SL:DATE_TIME] IN:CREATE_TIMER]
Lies mir bitte die aktuellsten Nachrichten vor	[IN:GET_STORIES_NEWS [SL:DATE_TIME die aktuellsten SL:DATE_TIME] [SL:NEWS_TYPE Nachrichten SL:NEWS_TYPE] IN:GET_STORIES_NEWS]
Werde ich eine Jacke mitnehmen müssen ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE Jacke SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
Erzähle mir Neuigkeiten	[IN:GET_STORIES_NEWS [SL:NEWS_TYPE Neuigkeiten SL:NEWS_TYPE] IN:GET_STORIES_NEWS]
Was sind heute die Schlagzeilen in den Philippinen ?	[IN:GET_STORIES_NEWS [SL:NEWS_TYPE Schlagzeilen SL:NEWS_TYPE] [SL:NEWS_TOPIC Philippinen SL:NEWS_TOPIC] [SL:DATE_TIME heute SL:DATE_TIME] IN:GET_STORIES_NEWS]
Was ist nächste Woche hier die Durchschnittstemperatur ?	[IN:GET_WEATHER [SL:LOCATION hier SL:LOCATION] [SL:DATE_TIME nächste Woche SL:DATE_TIME] IN:GET_WEATHER]
Brauche einen Timer eingestellt für 2 Stunden	[IN:CREATE_TIMER [SL:METHOD_TIMER Timer SL:METHOD_TIMER] [SL:DATE_TIME für 2 Stunden SL:DATE_TIME] IN:CREATE_TIMER]
Regnet es heute in New York ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE Regnet SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME heute SL:DATE_TIME] [SL:LOCATION New York SL:LOCATION] IN:GET_WEATHER]
Bitte mach ' Big Poppa ' von B.I.G . an	[IN:PLAY_MUSIC [SL:MUSIC_TRACK_TITLE Big Poppa SL:MUSIC_TRACK_TITLE] [SL:MUSIC_ARTIST_NAME B.I.G SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Bitte spiele alte Musik von Hilary Duff	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Hilary Duff SL:MUSIC_ARTIST_NAME] [SL:MUSIC_TYPE Musik SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Bitte spiele die zehn besten Pop Lieder	[IN:PLAY_MUSIC [SL:MUSIC_GENRE Pop SL:MUSIC_GENRE] [SL:MUSIC_TYPE Lieder SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Was sind die letzten Schlagzeilen zu Trump ?	[IN:GET_STORIES_NEWS [SL:DATE_TIME letzten SL:DATE_TIME] [SL:NEWS_TYPE Schlagzeilen SL:NEWS_TYPE] [SL:NEWS_TOPIC Trump SL:NEWS_TOPIC] IN:GET_STORIES_NEWS]
Die lokalen Nachrichten von gestern	[IN:GET_STORIES_NEWS [SL:DATE_TIME von gestern SL:DATE_TIME] [SL:NEWS_CATEGORY lokalen SL:NEWS_CATEGORY] [SL:NEWS_TYPE Nachrichten SL:NEWS_TYPE] IN:GET_STORIES_NEWS]
stelle einen Timer auf 16 Sekunden	[IN:CREATE_TIMER [SL:METHOD_TIMER Timer SL:METHOD_TIMER] [SL:DATE_TIME auf 16 Sekunden SL:DATE_TIME] IN:CREATE_TIMER]
Stelle einen Wecker auf 6 : 45 Uhr	[IN:CREATE_ALARM [SL:DATE_TIME auf 6 : 45 Uhr SL:DATE_TIME] IN:CREATE_ALARM]
Aktuelle Nachrichten bitte	[IN:GET_STORIES_NEWS [SL:NEWS_REFERENCE Aktuelle SL:NEWS_REFERENCE] [SL:NEWS_TYPE Nachrichten SL:NEWS_TYPE] IN:GET_STORIES_NEWS]
Starte um 13 : 00 Uhr einen 15 Minuten Timer	[IN:CREATE_TIMER [SL:DATE_TIME 15 Minuten SL:DATE_TIME] [SL:METHOD_TIMER Timer SL:METHOD_TIMER] [SL:DATE_TIME um 13 : 00 Uhr SL:DATE_TIME] IN:CREATE_TIMER]
Spiele die mexikanischen Nachrichten	[IN:GET_STORIES_NEWS [SL:NEWS_TOPIC mexikanischen SL:NEWS_TOPIC] [SL:NEWS_TYPE Nachrichten SL:NEWS_TYPE] IN:GET_STORIES_NEWS]
Ich möchte klassische Musik hören	[IN:PLAY_MUSIC [SL:MUSIC_GENRE klassische SL:MUSIC_GENRE] [SL:MUSIC_TYPE Musik SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Was sind die lokalen Nachrichten in Port St Lucie	[IN:GET_STORIES_NEWS [SL:NEWS_CATEGORY lokalen SL:NEWS_CATEGORY] [SL:NEWS_TYPE Nachrichten SL:NEWS_TYPE] [SL:NEWS_TOPIC Port St Lucie SL:NEWS_TOPIC] IN:GET_STORIES_NEWS]
stelle einen Wecker für Big Brother am Dienstag und Sonntag auf 19 : 00 Uhr	[IN:CREATE_ALARM [SL:ALARM_NAME Wecker für Big Brother SL:ALARM_NAME] [SL:DATE_TIME Dienstag auf 19 : 00 Uhr SL:DATE_TIME] [SL:DATE_TIME Sonntag SL:DATE_TIME] IN:CREATE_ALARM]
Lese mir Artikel über Flohpest in Arizona	[IN:GET_STORIES_NEWS [SL:NEWS_TYPE Artikel SL:NEWS_TYPE] [SL:NEWS_TOPIC Flohpest in Arizona SL:NEWS_TOPIC] IN:GET_STORIES_NEWS]
Stelle meinen Wecker auf 55 Min .	[IN:CREATE_ALARM [SL:DATE_TIME auf 55 Min . SL:DATE_TIME] IN:CREATE_ALARM]
spiele etwas sanfte Musik	[IN:PLAY_MUSIC [SL:MUSIC_GENRE sanfte SL:MUSIC_GENRE] [SL:MUSIC_TYPE Musik SL:MUSIC_TYPE] IN:PLAY_MUSIC]
Bitte , starte Timer neu	[IN:RESTART_TIMER [SL:METHOD_TIMER Timer SL:METHOD_TIMER] IN:RESTART_TIMER]
Was sind die aktuellsten Schlagzeilen	[IN:GET_STORIES_NEWS [SL:DATE_TIME aktuellsten SL:DATE_TIME] [SL:NEWS_TYPE Schlagzeilen SL:NEWS_TYPE] IN:GET_STORIES_NEWS]
Pausiere den Timeout - Timer	[IN:PAUSE_TIMER [SL:METHOD_TIMER Timer SL:METHOD_TIMER] IN:PAUSE_TIMER]
Lese mir die Schlagzeilen vom letzten Sonntag	[IN:GET_STORIES_NEWS [SL:DATE_TIME vom letzten Sonntag SL:DATE_TIME] [SL:NEWS_TYPE Schlagzeilen SL:NEWS_TYPE] IN:GET_STORIES_NEWS]
Ich möchte irgendein Lied von Menudo hören	[IN:PLAY_MUSIC [SL:MUSIC_TYPE Lied SL:MUSIC_TYPE] [SL:MUSIC_ARTIST_NAME Menudo SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Stelle einen Wecker für 2 Minuten , danke sexy	[IN:CREATE_ALARM [SL:DATE_TIME für 2 Minuten SL:DATE_TIME] IN:CREATE_ALARM]
Spiele das erste Lied , das Garth Brooks jemals veröffentlicht hat .	[IN:PLAY_MUSIC [SL:MUSIC_TYPE Lied SL:MUSIC_TYPE] [SL:MUSIC_ARTIST_NAME Garth Brooks SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Bitte spiele nur Dave Matthews Band .	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Dave Matthews Band SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Überprüfe alle meine Timer .	[IN:GET_TIMER [SL:AMOUNT alle SL:AMOUNT] [SL:METHOD_TIMER Timer SL:METHOD_TIMER] IN:GET_TIMER]
Was sind die heutigen Schlagzeilen	[IN:GET_STORIES_NEWS [SL:NEWS_TYPE Schlagzeilen SL:NEWS_TYPE] [SL:DATE_TIME heutigen SL:DATE_TIME] IN:GET_STORIES_NEWS]
Schlummer den Wecker für zehn Minuten .	[IN:SNOOZE_ALARM [SL:DATE_TIME für zehn Minuten SL:DATE_TIME] IN:SNOOZE_ALARM]
Finde den Hit Song dieser Woche in der Tanz Kategorie	[IN:PLAY_MUSIC [SL:MUSIC_TYPE Song SL:MUSIC_TYPE] [SL:MUSIC_GENRE Tanz SL:MUSIC_GENRE] IN:PLAY_MUSIC]
Gib mir die Zeit die auf meinem Timer verbleibt .	[IN:GET_TIMER [SL:METHOD_TIMER Timer SL:METHOD_TIMER] IN:GET_TIMER]
Wie viele Stunden sind noch übrig , bis der Wecker losgeht ?	[IN:GET_ALARM  IN:GET_ALARM]
Setzte den Countdown fort .	[IN:RESUME_TIMER [SL:METHOD_TIMER Countdown SL:METHOD_TIMER] IN:RESUME_TIMER]
Erstelle einen neuen Timer für 45 Sekunden .	[IN:CREATE_TIMER [SL:METHOD_TIMER Timer SL:METHOD_TIMER] [SL:DATE_TIME für 45 Sekunden SL:DATE_TIME] IN:CREATE_TIMER]
Gib mir Informationen über die Nachrichten in meinem Bundesstaat .	[IN:GET_STORIES_NEWS [SL:NEWS_TYPE Nachrichten SL:NEWS_TYPE] IN:GET_STORIES_NEWS]
Stelle den Wecker auf 17 : 30 Uhr	[IN:CREATE_ALARM [SL:DATE_TIME auf 17 : 30 Uhr SL:DATE_TIME] IN:CREATE_ALARM]
Nachrichten - Update , bitte	[IN:GET_STORIES_NEWS [SL:NEWS_TYPE Nachrichten - SL:NEWS_TYPE] IN:GET_STORIES_NEWS]
Ich möchte Taylor Swift hören	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Taylor Swift SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Höre Itty Bitty von Alan Jackson	[IN:PLAY_MUSIC [SL:MUSIC_TRACK_TITLE Itty Bitty SL:MUSIC_TRACK_TITLE] [SL:MUSIC_ARTIST_NAME Alan Jackson SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Lies die Details über Charlottesville	[IN:GET_STORIES_NEWS [SL:NEWS_TYPE Details SL:NEWS_TYPE] [SL:NEWS_TOPIC Charlottesville SL:NEWS_TOPIC] IN:GET_STORIES_NEWS]
