llamar a Irene Powell	[IN:CREATE_CALL [SL:CONTACT Irene Powell SL:CONTACT] IN:CREATE_CALL]
¿ Hay lluvia pronosticada para mañana en Filadelfia ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE lluvia SL:WEATHER_ATTRIBUTE] [SL:LOCATION Filadelfia SL:LOCATION] [SL:DATE_TIME para mañana SL:DATE_TIME] IN:GET_WEATHER]
¿ Tendremos vientos fuertes hoy ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE vientos SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Está pronosticado lluvia en Panama City , Florida , la próxima semana ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE lluvia SL:WEATHER_ATTRIBUTE] [SL:LOCATION Panama City , Florida SL:LOCATION] [SL:DATE_TIME próxima semana SL:DATE_TIME] IN:GET_WEATHER]
¿ Granizará esta noche ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE Granizará SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME esta noche SL:DATE_TIME] IN:GET_WEATHER]
¿ Estará húmedo mañana ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE húmedo SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME mañana SL:DATE_TIME] IN:GET_WEATHER]
Temperatura de hoy .	[IN:GET_WEATHER [SL:DATE_TIME de hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuál es la humedad en este momento ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE humedad SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
¿ Cuánta lluvia está pronosticada para la semana siguiente ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE lluvia SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME para la semana siguiente SL:DATE_TIME] IN:GET_WEATHER]
¿ Cómo está el tiempo en Alabama ?	[IN:GET_WEATHER [SL:LOCATION Alabama SL:LOCATION] IN:GET_WEATHER]
¿ Cuál es el pronóstico del clima para el fin de semana ?	[IN:GET_WEATHER [SL:DATE_TIME para el fin de semana SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuál será la temperatura esta semana ?	[IN:GET_WEATHER [SL:DATE_TIME esta semana SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuál será la temperatura de esta noche ?	[IN:GET_WEATHER [SL:DATE_TIME de esta noche SL:DATE_TIME] IN:GET_WEATHER]
¿ Qué ocurre con el clima ?	[IN:GET_WEATHER  IN:GET_WEATHER]
¿ Hará calor hoy ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE calor SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Tendremos algún día frío la próxima semana ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE frío SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME próxima semana SL:DATE_TIME] IN:GET_WEATHER]
¿ Va a haber tormenta hoy ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE tormenta SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
Pronóstico del tiempo de la próxima semana .	[IN:GET_WEATHER [SL:DATE_TIME de la próxima semana SL:DATE_TIME] IN:GET_WEATHER]
¿ Está ventoso hoy ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE ventoso SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Debería ponerme un impermeable hoy ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE impermeable SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Debería salir con un abrigo ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE abrigo SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
Clima en mi pueblo .	[IN:GET_WEATHER  IN:GET_WEATHER]
¿ Cómo estará el clima la próxima semana en Brasil ?	[IN:GET_WEATHER [SL:DATE_TIME próxima semana SL:DATE_TIME] [SL:LOCATION Brasil SL:LOCATION] IN:GET_WEATHER]
¿ Qué temperatura hace en Jamaica ?	[IN:GET_WEATHER [SL:LOCATION Jamaica SL:LOCATION] IN:GET_WEATHER]
¿ Necesito mi paraguas ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE paraguas SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
¿ Está lloviendo en Florida ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE lloviendo SL:WEATHER_ATTRIBUTE] [SL:LOCATION Florida SL:LOCATION] IN:GET_WEATHER]
¿ Cómo estará el clima la próxima semana en Miami ?	[IN:GET_WEATHER [SL:DATE_TIME próxima semana SL:DATE_TIME] [SL:LOCATION Miami SL:LOCATION] IN:GET_WEATHER]
¿ Está lloviendo en Seattle ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE lloviendo SL:WEATHER_ATTRIBUTE] [SL:LOCATION Seattle SL:LOCATION] IN:GET_WEATHER]
¿ Lloverá en Hilo hoy ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE Lloverá SL:WEATHER_ATTRIBUTE] [SL:LOCATION Hilo SL:LOCATION] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Va a haber una tormenta mañana ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE tormenta SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME mañana SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuál es el punto de rocío hoy ?	[IN:GET_AIRQUALITY [SL:WEATHER_ATTRIBUTE punto de rocío SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_AIRQUALITY]
¿ Cuánta nieve está prevista ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE nieve SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
¿ Necesito llevar paraguas hoy ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE paraguas SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuál será la máxima temperatura de hoy ?	[IN:GET_WEATHER [SL:DATE_TIME de hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuánta humedad hay en Fort Lauderdale hoy ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE humedad SL:WEATHER_ATTRIBUTE] [SL:LOCATION Fort Lauderdale SL:LOCATION] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Debería llevar un suéter encima mañana ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE suéter SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME mañana SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuál es el pronóstico para la semana que viene ?	[IN:GET_WEATHER [SL:DATE_TIME para la semana que viene SL:DATE_TIME] IN:GET_WEATHER]
¿ Estará nublado mañana ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE nublado SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME mañana SL:DATE_TIME] IN:GET_WEATHER]
¿ Estará soleado mañana ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE soleado SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME mañana SL:DATE_TIME] IN:GET_WEATHER]
¿ Hará calor hoy ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE calor SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuál es la temperatura en Barcelona , España ?	[IN:GET_WEATHER [SL:LOCATION Barcelona , España SL:LOCATION] IN:GET_WEATHER]
¿ Cómo estará Miami mañana ?	[IN:GET_WEATHER [SL:LOCATION Miami SL:LOCATION] [SL:DATE_TIME mañana SL:DATE_TIME] IN:GET_WEATHER]
¿ Viene una tormenta ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE tormenta SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
¿ Cuál es el pronóstico para hoy a las 12 : 00 ?	[IN:GET_WEATHER [SL:DATE_TIME para hoy a las 12 : 00 SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuándo va a llover ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE llover SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
¿ Necesitaré llevar una chaqueta ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE chaqueta SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
¿ Cómo está el clima afuera ?	[IN:GET_WEATHER  IN:GET_WEATHER]
¿ Nevará hoy ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE Nevará SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
El día más frío de la semana .	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE más frío SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME de la semana SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuál es el clima ahora mismo en Cleveland ?	[IN:GET_WEATHER [SL:LOCATION Cleveland SL:LOCATION] IN:GET_WEATHER]
¿ Puedo usar sandalias ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE sandalias SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
¿ Se avecina una tormenta ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE tormenta SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
¿ Cuándo hay más probabilidades de que se produzca un tornado ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE tornado SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
¿ Voy a necesitar una chaqueta de lluvia hoy ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE chaqueta de lluvia SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
¿ Qué temperatura hará esta noche ?	[IN:GET_WEATHER [SL:DATE_TIME esta noche SL:DATE_TIME] IN:GET_WEATHER]
¿ Está lloviendo en Portland , Oregon ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE lloviendo SL:WEATHER_ATTRIBUTE] [SL:LOCATION Portland , Oregon SL:LOCATION] IN:GET_WEATHER]
¿ Cómo estará el clima durante el fin de semana ?	[IN:GET_WEATHER [SL:DATE_TIME durante el fin de semana SL:DATE_TIME] IN:GET_WEATHER]
¿ Cómo estará el clima esta semana ?	[IN:GET_WEATHER [SL:DATE_TIME esta semana SL:DATE_TIME] IN:GET_WEATHER]
Actualiza el clima .	[IN:GET_WEATHER  IN:GET_WEATHER]
¿ Cómo estará el clima la próxima semana ?	[IN:GET_WEATHER [SL:DATE_TIME próxima semana SL:DATE_TIME] IN:GET_WEATHER]
¿ Está nevando en Topeka ahora mismo ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE nevando SL:WEATHER_ATTRIBUTE] [SL:LOCATION Topeka SL:LOCATION] IN:GET_WEATHER]
¿ Debería ponerme botas de nieve hoy ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE botas de nieve SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Hace suficiente calor hoy como para freír un huevo en el asfalto ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE calor SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuál fue la temperatura más alta de hoy ?	[IN:GET_WEATHER [SL:DATE_TIME de hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Debería ponerme guantes ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE guantes SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
¿ Cuán ventoso estará hoy ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE ventoso SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuál es el pronóstico del tiempo para el 18 de agosto ?	[IN:GET_WEATHER [SL:DATE_TIME para el 18 de agosto SL:DATE_TIME] IN:GET_WEATHER]
¿ Debería llevar guantes ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE guantes SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
¿ Cuánto tiempo durará esta ola de calor ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE ola de calor SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
¿ Qué temperatura hará mañana ?	[IN:GET_WEATHER [SL:DATE_TIME mañana SL:DATE_TIME] IN:GET_WEATHER]
¿ Cómo será el clima hoy en Eastlake Park ?	[IN:GET_WEATHER [SL:LOCATION Eastlake Park SL:LOCATION] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuáles serán las temperaturas máxima y mínima el jueves ?	[IN:GET_WEATHER [SL:DATE_TIME jueves SL:DATE_TIME] IN:GET_WEATHER]
¿ Cómo será la temperatura esta tarde ?	[IN:GET_WEATHER [SL:DATE_TIME esta tarde SL:DATE_TIME] IN:GET_WEATHER]
¿ Hay inundaciones en Nueva Orleans ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE inundaciones SL:WEATHER_ATTRIBUTE] [SL:LOCATION Nueva Orleans SL:LOCATION] IN:GET_WEATHER]
Hace frío , ¿ cómo está el clima ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE frío SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
¿ Cómo estará el clima mañana ?	[IN:GET_WEATHER [SL:DATE_TIME mañana SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuál será la temperatura máxima el sábado ?	[IN:GET_WEATHER [SL:DATE_TIME sábado SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuándo llueve según el pronóstico ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE llueve SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
¿ Hay alguna alerta meteorológica ahora ?	[IN:GET_WEATHER  IN:GET_WEATHER]
¿ Cuál es el pronóstico para la semana próxima en Arizona ?	[IN:GET_WEATHER [SL:DATE_TIME para la semana próxima SL:DATE_TIME] [SL:LOCATION Arizona SL:LOCATION] IN:GET_WEATHER]
¿ Lloverá hoy ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE Lloverá SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuál será la temperatura de mañana ?	[IN:GET_WEATHER [SL:DATE_TIME de mañana SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuántas pulgadas de nieve se esperan para el jueves ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE nieve SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME para el jueves SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuál es la velocidad y la dirección del viento actualmente en Olympia ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE viento SL:WEATHER_ATTRIBUTE] [SL:LOCATION Olympia SL:LOCATION] IN:GET_WEATHER]
¿ Cuál es la temperatura más alta para hoy ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE temperatura más alta SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME para hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Cómo está el tiempo afuera ?	[IN:GET_WEATHER  IN:GET_WEATHER]
¿ Tengo que ponerme pantalones largos ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE pantalones largos SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
¿ Estamos bajo vigilancia de tornado ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE tornado SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
¿ Helará esta noche ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE Helará SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME esta noche SL:DATE_TIME] IN:GET_WEATHER]
¿ Hay probabilidades de tornados este fin de semana ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE tornados SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME este fin de semana SL:DATE_TIME] IN:GET_WEATHER]
¿ Cómo estará el clima en Chapel Hill a las 5 : 00 ?	[IN:GET_WEATHER [SL:LOCATION Chapel Hill SL:LOCATION] [SL:DATE_TIME a las 5 : 00 SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuál es la temperatura actual ?	[IN:GET_WEATHER  IN:GET_WEATHER]
¿ Hay probabilidades de tormentas en mi zona ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE tormentas SL:WEATHER_ATTRIBUTE] [SL:LOCATION mi zona SL:LOCATION] IN:GET_WEATHER]
¿ Debería ponerme protector solar ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE protector solar SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
¿ Hay probabilidades de lluvia el próximo mes ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE lluvia SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME próximo mes SL:DATE_TIME] IN:GET_WEATHER]
¿ Necesitaré usar un abrigo hoy más tarde ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE abrigo SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ A qué horas se supone que empezará a nevar ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE nevar SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
¿ Lloverá hoy en Osaka ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE Lloverá SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME hoy SL:DATE_TIME] [SL:LOCATION Osaka SL:LOCATION] IN:GET_WEATHER]
¿ Cuál será la temperatura a la medianoche ?	[IN:GET_WEATHER [SL:DATE_TIME a la medianoche SL:DATE_TIME] IN:GET_WEATHER]
¿ A qué hora se supone que empiece a nevar ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE nevar SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
¿ Debería usar chancletas ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE chancletas SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
¿ Llegará aquí la tormenta ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE tormenta SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
¿ Debo llevar chaqueta hoy ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE chaqueta SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Debería ponerme un impermeable hoy ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE impermeable SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuál es el pronóstico para los próximos diez días ?	[IN:GET_WEATHER [SL:DATE_TIME diez días SL:DATE_TIME] IN:GET_WEATHER]
¿ Llueve hoy ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE Llueve SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Necesitaré mis botas de lluvia mañana ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE botas de lluvia SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME mañana SL:DATE_TIME] IN:GET_WEATHER]
¿ La temperatura de ahora ?	[IN:GET_WEATHER  IN:GET_WEATHER]
¿ Qué tan malo está el clima ?	[IN:GET_WEATHER  IN:GET_WEATHER]
¿ Debería salir con un abrigo hoy ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE abrigo SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuándo lloverá ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE lloverá SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
¿ Cuánto calor hace en Hong Kong ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE calor SL:WEATHER_ATTRIBUTE] [SL:LOCATION Hong Kong SL:LOCATION] IN:GET_WEATHER]
¿ Lloverá pronto ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE Lloverá SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
¿ Cómo está el clima en Nueva Zelanda ?	[IN:GET_WEATHER [SL:LOCATION Nueva Zelanda SL:LOCATION] IN:GET_WEATHER]
¿ Cuánta lluvia está pronosticada para hoy ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE lluvia SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME para hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuál es el pronóstico de hoy en Manhattan ?	[IN:GET_WEATHER [SL:LOCATION Manhattan SL:LOCATION] [SL:DATE_TIME de hoy SL:DATE_TIME] IN:GET_WEATHER]
Muéstra me el clima para el lunes .	[IN:GET_WEATHER [SL:DATE_TIME para el lunes SL:DATE_TIME] IN:GET_WEATHER]
Di me cuál será el máximo hoy .	[IN:GET_WEATHER [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Debo usar mangas largas hoy ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE mangas largas SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Debería usar un abrigo pesado o una campera liviana para salir ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE abrigo SL:WEATHER_ATTRIBUTE] [SL:WEATHER_ATTRIBUTE campera SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
¿ A qué hora comienza a llover mañana ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE llover SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME mañana SL:DATE_TIME] IN:GET_WEATHER]
¿ Hay probabilidades de que nieve el sábado ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE nieve SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME sábado SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuál será la temperatura el jueves a las 16 : 00 ?	[IN:GET_WEATHER [SL:DATE_TIME jueves a las 16 : 00 SL:DATE_TIME] IN:GET_WEATHER]
¿ Estará despejado mañana en la tarde ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE despejado SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME mañana en la tarde SL:DATE_TIME] IN:GET_WEATHER]
¿ Va a llover esta noche ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE llover SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME esta noche SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuál es el pronóstico para Roswell , Nuevo México hoy ?	[IN:GET_WEATHER [SL:LOCATION Roswell , Nuevo México SL:LOCATION] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Lloverá este fin de semana ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE Lloverá SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME este fin de semana SL:DATE_TIME] IN:GET_WEATHER]
¿ Necesitaré usar lentes de sol hoy ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE lentes de sol SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuándo hará mucho más frío ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE más frío SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
¿ Qué tan húmedo está afuera ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE húmedo SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
¿ Cuánto frío va a hacer en Newark esta noche ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE frío SL:WEATHER_ATTRIBUTE] [SL:LOCATION Newark SL:LOCATION] [SL:DATE_TIME esta noche SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuánto calor hace en Ocean City ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE calor SL:WEATHER_ATTRIBUTE] [SL:LOCATION Ocean City SL:LOCATION] IN:GET_WEATHER]
¿ Nevará esta noche ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE Nevará SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME esta noche SL:DATE_TIME] IN:GET_WEATHER]
¿ Está lloviendo ahora mismo en Seattle ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE lloviendo SL:WEATHER_ATTRIBUTE] [SL:LOCATION Seattle SL:LOCATION] IN:GET_WEATHER]
¿ Voy a necesitar un suéter esta noche ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE suéter SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME esta noche SL:DATE_TIME] IN:GET_WEATHER]
¿ Va a llover en la ciudad de Nueva York el sábado ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE llover SL:WEATHER_ATTRIBUTE] [SL:LOCATION ciudad de Nueva York SL:LOCATION] [SL:DATE_TIME sábado SL:DATE_TIME] IN:GET_WEATHER]
Clima .	[IN:GET_WEATHER  IN:GET_WEATHER]
Dame un pronóstico de siete días .	[IN:GET_WEATHER [SL:DATE_TIME de siete días SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuál es el recuento del polen hoy ?	[IN:GET_AIRQUALITY [SL:WEATHER_ATTRIBUTE recuento del polen SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_AIRQUALITY]
¿ Cuál es el pronóstico a 3 días ?	[IN:GET_WEATHER [SL:DATE_TIME a 3 días SL:DATE_TIME] IN:GET_WEATHER]
¿ Estará soleado o nublado ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE soleado SL:WEATHER_ATTRIBUTE] [SL:WEATHER_ATTRIBUTE nublado SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
¿ Estará despejado el jueves ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE despejado SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME jueves SL:DATE_TIME] IN:GET_WEATHER]
¿ Está fresco afuera ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE fresco SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
¿ Hará calor el martes ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE calor SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME martes SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuál es la temperatura hoy ?	[IN:GET_WEATHER [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuál es la sensación térmica actual ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE sensación térmica SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
¿ Cuál es la temperatura promedio esta semana ?	[IN:GET_WEATHER [SL:DATE_TIME esta semana SL:DATE_TIME] IN:GET_WEATHER]
¿ Hay muchas probabilidades de que llueva hoy ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE llueva SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
